age	Q5_lieu	Q6_niveau	Q_renonce
17	Pistes	Débrouillée	Mauvaise neige
48	Pistes	Confirmée	Mauvaise météo
20	Pistes	Confirmée	Ne renonce jamais
31	Pistes et Bords de pistes	Confirmée	Mauvaise météo
27	Pistes	Débrouillée	Mauvaise météo
33	Pistes	Débrouillée	Ne renonce jamais
46	Pistes	Débrouillée	Mauvaise météo
38	Pistes	Confirmée	Mauvaise météo
14	Pistes	Débrouillée	Mauvaise météo
44	Pistes et Bords de pistes	Confirmée	Mauvaise météo
42	Pistes	Débrouillée	Mauvaise météo
43	Pistes	Confirmée	Mauvaise météo
44	Pistes	Débutante	Ne renonce jamais
44	Pistes	Débrouillée	Mauvaise météo
46	Pistes	Débrouillée	Mauvaise météo
39	Pistes	Confirmée	Mauvaise météo
43	Pistes	Confirmée	Mauvaise météo
40	Pistes	Débutante	Mauvaise neige
38	Pistes	Débutante	Trop de monde
15	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
38	Pistes	Confirmée	Ne renonce jamais
44	Pistes	Confirmée	Mauvaise météo
35	Pistes	Confirmée	Mauvaise météo
45	Pistes	Confirmée	Mauvaise météo
53	Pistes	Débrouillée	Mauvaise météo
45	Pistes et Bords de pistes	Confirmée	Mauvaise météo
51	Pistes	Débrouillée	Mauvaise météo
61	Pistes	Confirmée	Mauvaise météo
31	Pistes	Débrouillée	Mauvaise météo
19	Pistes	Confirmée	Trop de monde
49	Pistes	Débrouillée	Mauvaise météo
47	Pistes	Experte	Mauvaise neige
22	Pistes	Débutante	Mauvaise matériel
43	Pistes	Confirmée	Mauvaise météo
42	Pistes	Confirmée	Mauvaise météo
45	Pistes	Confirmée	Mauvaise météo
43	Pistes	Débutante	Mauvaise météo
26	Pistes	Débutante	Trop de monde
17	Pistes et Bords de pistes	Confirmée	Mauvaise météo
40	Pistes et Bords de pistes	Experte	Mauvaise météo
24	Pistes	Débrouillée	Mauvaise météo
50	Pistes	Confirmée	Mauvaise météo
59	Pistes	Confirmée	Mauvaise météo
27	Pistes	Débrouillée	Trop de monde
24	Pistes	Confirmée	Mauvaise météo
31	Pistes	Débrouillée	Mauvaise neige
37	Pistes et Bords de pistes	Confirmée	Mauvaise météo
51	Pistes	Débutante	Mauvaise matériel
22	Pistes	Débrouillée	Mauvaise météo
44	Pistes	Confirmée	Ne renonce jamais
30	Pistes	Débrouillée	Ne renonce jamais
75	Pistes et Bords de pistes	Confirmée	Mauvaise météo
58	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
53	Pistes	Débrouillée	Mauvaise météo
24	Pistes	Débrouillée	Mauvaise neige
51	Pistes	Débutante	Mauvaise neige
43	Pistes	Débutante	Trop de monde
